Сумма кредита	Стоимость кредита	Срок кредита	Дата кредитования	Цель кредитования	Количество	Возраст	Пол	Образование	Частная собственность	Срок работы по специальности	Среднемес. доход	Среднемес. расход	Основное направление расходов
23000	4600	12	08.02.03	Оплата услуг (мед., юрид. и т.п.)	1	67	Муж	среднее	Нет	11	13500	10000	Выплаты по кредитам/займам
19000	3800	6	08.02.03	Оплата за образование	1	29	Муж	специальное	Нет	9	10500	7000	Затраты на образование (в т.ч. детей)
7500	1500	6	09.02.03	Иное	1	69	Жен	среднее	Да	7	7000	2500	Турпоездки, развлечения и т.п.
26000	5200	24	09.02.03	Иное	1	58	Жен	высшее	Нет	28	13000	8500	Турпоездки, развлечения и т.п.
28000	5600	24	09.02.03	Иное	1	23	Жен	высшее	Да	20	8500	6500	Турпоездки, развлечения и т.п.
20500	4100	12	10.02.03	Иное	1	20	Жен	среднее	Нет	1	8500	4500	Покупка товаров длит. пользования
13500	2700	18	11.02.03	Оплата услуг (мед., юрид. и т.п.)	1	56	Жен	среднее	Да	22	12500	4000	Турпоездки, развлечения и т.п.
20500	4100	18	12.02.03	Покупка и ремонт недвижимости	1	30	Муж	высшее	Да	7	7500	2500	Турпоездки, развлечения и т.п.
7500	1500	6	13.02.03	Покупка и ремонт недвижимости	1	65	Муж	среднее	Да	18	2000	500	Покупка товаров длит. пользования
14000	2800	24	16.02.03	Покупка товара	1	27	Муж	высшее	Да	29	3500	1500	Турпоездки, развлечения и т.п.
12500	2500	18	16.02.03	Покупка автомобиля	1	45	Жен	высшее	Да	11	5500	2000	Покупка товаров длит. пользования
16500	3300	12	17.02.03	Оплата за образование	1	31	Жен	среднее	Нет	14	2500	1000	Покупка товаров длит. пользования
4500	900	6	17.02.03	Покупка и ремонт недвижимости	1	47	Муж	специальное	Нет	25	8500	2500	Содержание/аренда недвижимости, а/т
23000	4600	6	18.02.03	Покупка и ремонт недвижимости	1	30	Муж	среднее	Да	16	7000	4500	Покупка товаров длит. пользования
6000	1200	6	18.02.03	Оплата за образование	1	25	Муж	высшее	Нет	11	6000	3000	Затраты на образование (в т.ч. детей)
20000	4000	18	19.02.03	Покупка товара	1	39	Жен	среднее	Нет	6	4000	2500	Турпоездки, развлечения и т.п.
5500	1100	24	19.02.03	Покупка товара	1	33	Муж	специальное	Нет	25	5500	2000	Выплаты по кредитам/займам
17500	3500	18	19.02.03	Иное	1	39	Жен	высшее	Да	22	5500	1500	Содержание/аренда недвижимости, а/т
10000	2000	18	19.02.03	Покупка автомобиля	1	45	Жен	специальное	Нет	22	9000	4500	Выплаты по кредитам/займам
11500	2300	18	21.02.03	Оплата за образование	1	58	Жен	специальное	Нет	22	4000	1500	Покупка товаров длит. пользования
19000	3800	18	21.02.03	Оплата услуг (мед., юрид. и т.п.)	1	28	Жен	высшее	Нет	7	3000	2000	Содержание/аренда недвижимости, а/т
6000	1200	18	21.02.03	Оплата услуг (мед., юрид. и т.п.)	1	57	Жен	специальное	Да	28	6000	2500	Содержание/аренда недвижимости, а/т
15500	3100	24	22.02.03	Иное	1	48	Муж	высшее	Да	27	13000	6000	Затраты на образование (в т.ч. детей)
14000	2800	12	22.02.03	Оплата услуг (мед., юрид. и т.п.)	1	67	Жен	высшее	Да	23	13000	8500	Турпоездки, развлечения и т.п.
12000	2400	18	22.02.03	Покупка товара	1	28	Жен	высшее	Да	1	10000	4000	Затраты на образование (в т.ч. детей)
10000	2000	12	22.02.03	Оплата услуг (мед., юрид. и т.п.)	1	63	Жен	специальное	Нет	14	4500	3000	Выплаты по кредитам/займам
3500	700	18	24.02.03	Оплата услуг (мед., юрид. и т.п.)	1	37	Муж	высшее	Нет	25	5000	2000	Содержание/аренда недвижимости, а/т
8500	1700	24	25.02.03	Покупка и ремонт недвижимости	1	34	Жен	специальное	Да	18	10500	3500	Покупка товаров длит. пользования
20500	4100	24	25.02.03	Иное	1	20	Жен	специальное	Нет	13	9000	5000	Выплаты по кредитам/займам
7500	1500	12	26.02.03	Покупка и ремонт недвижимости	1	23	Муж	специальное	Да	24	2000	500	Выплаты по кредитам/займам
29500	5900	18	26.02.03	Оплата услуг (мед., юрид. и т.п.)	1	59	Жен	высшее	Да	8	10500	7000	Выплаты по кредитам/займам
28500	5700	24	27.02.03	Оплата услуг (мед., юрид. и т.п.)	1	27	Муж	среднее	Да	28	14500	4500	Содержание/аренда недвижимости, а/т
11500	2300	18	28.02.03	Оплата услуг (мед., юрид. и т.п.)	1	21	Муж	высшее	Нет	12	7500	2500	Содержание/аренда недвижимости, а/т
2500	500	24	28.02.03	Оплата за образование	1	46	Жен	специальное	Да	17	14000	5000	Затраты на образование (в т.ч. детей)
8500	1700	12	28.02.03	Иное	1	69	Муж	специальное	Нет	1	6000	2500	Выплаты по кредитам/займам
14500	2900	6	28.02.03	Иное	1	30	Жен	среднее	Нет	7	13500	8500	Покупка товаров длит. пользования
14000	2800	6	01.03.03	Покупка автомобиля	1	64	Жен	среднее	Нет	29	4500	3000	Затраты на образование (в т.ч. детей)
16000	3200	24	01.03.03	Покупка автомобиля	1	64	Муж	высшее	Нет	9	2500	1000	Покупка товаров длит. пользования
24000	4800	6	01.03.03	Покупка товара	1	57	Муж	среднее	Нет	4	14500	5500	Покупка товаров длит. пользования
24500	4900	18	02.03.03	Оплата за образование	1	28	Жен	среднее	Нет	5	4500	1500	Покупка товаров длит. пользования
20000	4000	12	02.03.03	Покупка и ремонт недвижимости	1	49	Жен	высшее	Да	13	10000	5000	Затраты на образование (в т.ч. детей)
17500	3500	6	03.03.03	Оплата услуг (мед., юрид. и т.п.)	1	27	Жен	среднее	Да	26	4500	1000	Турпоездки, развлечения и т.п.
12000	2400	12	04.03.03	Покупка товара	1	28	Муж	высшее	Да	19	14000	6000	Турпоездки, развлечения и т.п.
11000	2200	12	04.03.03	Покупка и ремонт недвижимости	1	35	Муж	высшее	Нет	4	2000	1000	Выплаты по кредитам/займам
23500	4700	18	05.03.03	Покупка автомобиля	1	61	Муж	специальное	Да	4	4000	2000	Содержание/аренда недвижимости, а/т
25500	5100	6	05.03.03	Оплата услуг (мед., юрид. и т.п.)	1	43	Муж	специальное	Нет	8	14000	5500	Покупка товаров длит. пользования
10500	2100	18	05.03.03	Оплата услуг (мед., юрид. и т.п.)	1	47	Муж	высшее	Да	18	6000	3500	Затраты на образование (в т.ч. детей)
9000	1800	18	06.03.03	Покупка товара	1	20	Муж	высшее	Да	17	7500	5500	Турпоездки, развлечения и т.п.
5500	1100	18	07.03.03	Покупка автомобиля	1	63	Жен	высшее	Нет	16	5000	3000	Выплаты по кредитам/займам
4500	900	18	07.03.03	Иное	1	34	Жен	высшее	Да	19	12500	6500	Содержание/аренда недвижимости, а/т
22000	4400	18	07.03.03	Оплата услуг (мед., юрид. и т.п.)	1	29	Муж	высшее	Да	10	9000	3500	Затраты на образование (в т.ч. детей)
14000	2800	6	08.03.03	Покупка и ремонт недвижимости	1	22	Жен	высшее	Нет	1	3500	2000	Выплаты по кредитам/займам
3500	700	24	08.03.03	Покупка автомобиля	1	23	Муж	высшее	Да	0	8500	5500	Содержание/аренда недвижимости, а/т
8000	1600	6	08.03.03	Иное	1	41	Муж	специальное	Да	3	2500	500	Затраты на образование (в т.ч. детей)
25000	5000	6	08.03.03	Покупка и ремонт недвижимости	1	65	Жен	специальное	Нет	27	3500	1500	Содержание/аренда недвижимости, а/т
25500	5100	18	09.03.03	Оплата услуг (мед., юрид. и т.п.)	1	31	Жен	среднее	Нет	21	2000	500	Выплаты по кредитам/займам
13000	2600	24	09.03.03	Оплата за образование	1	34	Жен	высшее	Нет	10	8000	5000	Затраты на образование (в т.ч. детей)
5500	1100	12	10.03.03	Покупка автомобиля	1	64	Муж	среднее	Нет	23	7500	2500	Выплаты по кредитам/займам
20500	4100	18	12.03.03	Покупка и ремонт недвижимости	1	73	Муж	среднее	Да	26	4500	1500	Турпоездки, развлечения и т.п.
3000	600	24	14.03.03	Покупка товара	1	23	Жен	высшее	Нет	2	8000	2500	Содержание/аренда недвижимости, а/т
15500	3100	24	14.03.03	Покупка автомобиля	1	42	Муж	высшее	Нет	11	6000	3500	Содержание/аренда недвижимости, а/т
15000	3000	12	15.03.03	Иное	1	74	Муж	высшее	Нет	20	11500	3500	Затраты на образование (в т.ч. детей)
9000	1800	6	15.03.03	Оплата за образование	1	30	Жен	среднее	Да	0	13500	10500	Покупка товаров длит. пользования
17000	3400	6	15.03.03	Покупка автомобиля	1	53	Жен	специальное	Нет	1	6000	1500	Выплаты по кредитам/займам
18000	3600	24	16.03.03	Покупка автомобиля	1	43	Муж	среднее	Нет	12	8000	3000	Выплаты по кредитам/займам
2500	500	18	17.03.03	Оплата за образование	1	51	Жен	высшее	Нет	1	11500	6000	Покупка товаров длит. пользования
27000	5400	24	17.03.03	Покупка и ремонт недвижимости	1	65	Муж	среднее	Да	21	9000	6500	Турпоездки, развлечения и т.п.
14500	2900	6	19.03.03	Покупка товара	1	74	Муж	высшее	Нет	24	8500	4500	Покупка товаров длит. пользования
24500	4900	18	19.03.03	Покупка товара	1	62	Муж	высшее	Нет	3	13500	7000	Содержание/аренда недвижимости, а/т
10000	2000	6	20.03.03	Покупка и ремонт недвижимости	1	42	Жен	высшее	Нет	19	4000	2000	Содержание/аренда недвижимости, а/т
21000	4200	12	20.03.03	Покупка автомобиля	1	71	Муж	высшее	Нет	2	14000	6000	Затраты на образование (в т.ч. детей)
29000	5800	24	20.03.03	Покупка товара	1	64	Муж	среднее	Нет	4	12000	9000	Затраты на образование (в т.ч. детей)
19000	3800	24	22.03.03	Покупка товара	1	24	Жен	специальное	Нет	22	3500	1000	Затраты на образование (в т.ч. детей)
3000	600	12	22.03.03	Оплата за образование	1	66	Муж	среднее	Да	5	7500	5000	Покупка товаров длит. пользования
8000	1600	24	24.03.03	Покупка и ремонт недвижимости	1	41	Муж	среднее	Нет	8	11000	3000	Выплаты по кредитам/займам
25500	5100	6	25.03.03	Покупка и ремонт недвижимости	1	70	Муж	среднее	Да	7	5000	3000	Выплаты по кредитам/займам
4000	800	18	27.03.03	Покупка и ремонт недвижимости	1	72	Муж	специальное	Нет	17	13500	5000	Покупка товаров длит. пользования
15000	3000	6	27.03.03	Покупка автомобиля	1	72	Жен	специальное	Нет	23	14500	8000	Выплаты по кредитам/займам
20000	4000	12	27.03.03	Покупка и ремонт недвижимости	1	68	Муж	специальное	Да	21	14000	7000	Турпоездки, развлечения и т.п.
28500	5700	6	27.03.03	Оплата услуг (мед., юрид. и т.п.)	1	34	Жен	специальное	Нет	9	9000	4500	Содержание/аренда недвижимости, а/т
20000	4000	18	28.03.03	Покупка автомобиля	1	73	Жен	высшее	Нет	28	7500	4000	Турпоездки, развлечения и т.п.
22500	4500	18	29.03.03	Оплата услуг (мед., юрид. и т.п.)	1	24	Жен	специальное	Да	22	9500	5500	Содержание/аренда недвижимости, а/т
18500	3700	24	30.03.03	Покупка и ремонт недвижимости	1	26	Жен	высшее	Нет	17	11500	7500	Затраты на образование (в т.ч. детей)
13000	2600	6	30.03.03	Покупка товара	1	63	Муж	среднее	Да	29	8000	2000	Выплаты по кредитам/займам
11500	2300	18	01.04.03	Иное	1	48	Жен	среднее	Да	0	3000	1000	Турпоездки, развлечения и т.п.
22000	4400	12	03.04.03	Покупка товара	1	68	Жен	специальное	Да	13	14000	4500	Содержание/аренда недвижимости, а/т
24500	4900	12	05.04.03	Иное	1	21	Муж	специальное	Да	18	3000	1000	Покупка товаров длит. пользования
17500	3500	18	05.04.03	Оплата за образование	1	48	Жен	среднее	Нет	7	2000	500	Покупка товаров длит. пользования
17500	3500	18	05.04.03	Покупка и ремонт недвижимости	1	40	Муж	высшее	Да	9	11000	6000	Выплаты по кредитам/займам
21500	4300	18	05.04.03	Покупка и ремонт недвижимости	1	27	Муж	специальное	Да	4	9000	6500	Выплаты по кредитам/займам
18500	3700	6	05.04.03	Оплата услуг (мед., юрид. и т.п.)	1	62	Муж	специальное	Нет	23	13500	6500	Турпоездки, развлечения и т.п.
27000	5400	12	05.04.03	Покупка товара	1	25	Жен	специальное	Да	22	2500	500	Содержание/аренда недвижимости, а/т
19500	3900	18	06.04.03	Покупка и ремонт недвижимости	1	65	Муж	специальное	Нет	0	3500	2500	Турпоездки, развлечения и т.п.
4000	800	18	06.04.03	Иное	1	38	Муж	специальное	Нет	26	9000	2500	Выплаты по кредитам/займам
28500	5700	24	06.04.03	Иное	1	19	Жен	среднее	Да	7	7000	5000	Выплаты по кредитам/займам
27000	5400	12	08.04.03	Иное	1	63	Муж	среднее	Нет	15	7500	5000	Турпоездки, развлечения и т.п.
4500	900	24	08.04.03	Покупка товара	1	64	Муж	высшее	Да	0	13500	4500	Покупка товаров длит. пользования
19500	3900	18	08.04.03	Покупка товара	1	21	Жен	среднее	Да	21	10000	6500	Содержание/аренда недвижимости, а/т
14500	2900	18	09.04.03	Иное	1	33	Жен	специальное	Да	25	5000	3000	Покупка товаров длит. пользования
4500	900	24	10.04.03	Иное	1	37	Муж	высшее	Да	28	8500	3500	Содержание/аренда недвижимости, а/т
17000	3400	18	11.04.03	Покупка автомобиля	1	27	Муж	среднее	Да	8	7000	4500	Выплаты по кредитам/займам
16000	3200	24	11.04.03	Покупка товара	1	67	Жен	специальное	Нет	12	4000	1500	Выплаты по кредитам/займам
19500	3900	12	11.04.03	Покупка товара	1	26	Жен	высшее	Нет	19	12000	3500	Содержание/аренда недвижимости, а/т
23000	4600	24	11.04.03	Оплата услуг (мед., юрид. и т.п.)	1	22	Муж	специальное	Да	6	12500	6500	Покупка товаров длит. пользования
5500	1100	18	11.04.03	Оплата за образование	1	36	Жен	специальное	Да	13	10500	6500	Турпоездки, развлечения и т.п.
25500	5100	6	12.04.03	Покупка товара	1	61	Жен	специальное	Да	4	8000	6000	Содержание/аренда недвижимости, а/т
6000	1200	12	13.04.03	Оплата за образование	1	45	Жен	среднее	Нет	17	14000	6000	Содержание/аренда недвижимости, а/т
20000	4000	18	13.04.03	Оплата за образование	1	57	Жен	среднее	Нет	3	8000	3000	Содержание/аренда недвижимости, а/т
21500	4300	12	13.04.03	Покупка автомобиля	1	36	Муж	высшее	Нет	13	7000	4500	Содержание/аренда недвижимости, а/т
21500	4300	18	14.04.03	Покупка и ремонт недвижимости	1	21	Муж	среднее	Да	28	2000	1000	Затраты на образование (в т.ч. детей)
29000	5800	6	15.04.03	Покупка товара	1	19	Муж	специальное	Да	18	2500	1500	Турпоездки, развлечения и т.п.
7500	1500	18	15.04.03	Покупка товара	1	31	Жен	высшее	Нет	18	4000	2500	Покупка товаров длит. пользования
14500	2900	24	16.04.03	Покупка и ремонт недвижимости	1	65	Жен	специальное	Да	18	12000	6500	Турпоездки, развлечения и т.п.
4000	800	18	17.04.03	Иное	1	64	Жен	среднее	Да	16	10500	3000	Содержание/аренда недвижимости, а/т
2000	400	6	18.04.03	Покупка автомобиля	1	49	Жен	специальное	Нет	3	8000	3500	Содержание/аренда недвижимости, а/т
24500	4900	18	21.04.03	Иное	1	53	Муж	высшее	Нет	4	14000	7500	Затраты на образование (в т.ч. детей)
24500	4900	6	21.04.03	Оплата за образование	1	55	Жен	среднее	Да	20	13500	7500	Турпоездки, развлечения и т.п.
13000	2600	6	22.04.03	Оплата услуг (мед., юрид. и т.п.)	1	49	Муж	специальное	Нет	18	6000	3500	Турпоездки, развлечения и т.п.
10000	2000	18	22.04.03	Оплата услуг (мед., юрид. и т.п.)	1	21	Муж	специальное	Да	5	8500	5500	Затраты на образование (в т.ч. детей)
14500	2900	6	23.04.03	Покупка товара	1	33	Муж	среднее	Нет	22	7000	3500	Турпоездки, развлечения и т.п.
22500	4500	24	23.04.03	Покупка товара	1	20	Жен	среднее	Да	14	13000	8500	Турпоездки, развлечения и т.п.
28500	5700	12	24.04.03	Покупка автомобиля	1	22	Муж	высшее	Нет	8	14000	7500	Турпоездки, развлечения и т.п.
25000	5000	6	24.04.03	Покупка автомобиля	1	54	Жен	специальное	Нет	27	13500	8000	Содержание/аренда недвижимости, а/т
3000	600	12	24.04.03	Оплата услуг (мед., юрид. и т.п.)	1	46	Жен	среднее	Нет	7	9500	3000	Покупка товаров длит. пользования
14000	2800	6	24.04.03	Оплата услуг (мед., юрид. и т.п.)	1	20	Муж	высшее	Нет	21	2000	500	Турпоездки, развлечения и т.п.
23500	4700	24	24.04.03	Оплата услуг (мед., юрид. и т.п.)	1	21	Жен	среднее	Нет	15	5500	2500	Выплаты по кредитам/займам
5000	1000	18	25.04.03	Оплата за образование	1	41	Жен	среднее	Нет	9	4500	1500	Выплаты по кредитам/займам
7000	1400	6	26.04.03	Оплата за образование	1	38	Жен	высшее	Да	21	11500	6000	Покупка товаров длит. пользования
28000	5600	12	27.04.03	Покупка товара	1	18	Жен	специальное	Да	25	5000	1500	Выплаты по кредитам/займам
18500	3700	6	27.04.03	Покупка и ремонт недвижимости	1	73	Муж	высшее	Да	27	5500	2000	Затраты на образование (в т.ч. детей)
27500	5500	24	27.04.03	Покупка и ремонт недвижимости	1	51	Муж	специальное	Нет	8	5000	2500	Выплаты по кредитам/займам
16000	3200	18	27.04.03	Оплата за образование	1	46	Жен	среднее	Нет	23	12000	6500	Затраты на образование (в т.ч. детей)
15000	3000	18	28.04.03	Оплата за образование	1	51	Жен	высшее	Нет	12	11000	7500	Затраты на образование (в т.ч. детей)
25000	5000	12	28.04.03	Покупка товара	1	63	Жен	специальное	Да	3	10000	7500	Затраты на образование (в т.ч. детей)
20000	4000	6	28.04.03	Покупка и ремонт недвижимости	1	63	Муж	высшее	Да	6	9000	5000	Выплаты по кредитам/займам
16500	3300	6	29.04.03	Оплата услуг (мед., юрид. и т.п.)	1	68	Муж	высшее	Нет	25	7500	5000	Турпоездки, развлечения и т.п.
26500	5300	12	29.04.03	Покупка и ремонт недвижимости	1	33	Муж	среднее	Нет	13	10500	7000	Затраты на образование (в т.ч. детей)
23500	4700	24	30.04.03	Покупка автомобиля	1	74	Муж	специальное	Да	9	8000	5000	Турпоездки, развлечения и т.п.
17500	3500	24	01.05.03	Оплата услуг (мед., юрид. и т.п.)	1	53	Жен	специальное	Да	3	7000	4500	Выплаты по кредитам/займам
20000	4000	18	01.05.03	Иное	1	67	Жен	высшее	Да	29	5500	3000	Покупка товаров длит. пользования
8500	1700	18	02.05.03	Оплата услуг (мед., юрид. и т.п.)	1	70	Муж	высшее	Да	15	9500	5500	Выплаты по кредитам/займам
7000	1400	6	02.05.03	Покупка автомобиля	1	48	Муж	высшее	Нет	3	10000	7500	Покупка товаров длит. пользования
8500	1700	12	03.05.03	Оплата услуг (мед., юрид. и т.п.)	1	29	Муж	высшее	Нет	10	9000	5000	Содержание/аренда недвижимости, а/т
16500	3300	18	03.05.03	Покупка автомобиля	1	46	Муж	среднее	Да	22	5500	2000	Содержание/аренда недвижимости, а/т
23500	4700	18	03.05.03	Оплата услуг (мед., юрид. и т.п.)	1	26	Жен	среднее	Нет	7	4000	2500	Выплаты по кредитам/займам
20000	4000	12	04.05.03	Оплата услуг (мед., юрид. и т.п.)	1	55	Муж	среднее	Да	16	10500	4000	Турпоездки, развлечения и т.п.
15000	3000	6	05.05.03	Иное	1	55	Муж	высшее	Да	13	13500	8000	Турпоездки, развлечения и т.п.
26500	5300	24	06.05.03	Оплата услуг (мед., юрид. и т.п.)	1	45	Жен	высшее	Нет	7	2000	500	Содержание/аренда недвижимости, а/т
14500	2900	18	06.05.03	Оплата услуг (мед., юрид. и т.п.)	1	22	Жен	специальное	Нет	0	12000	6500	Покупка товаров длит. пользования
7000	1400	6	07.05.03	Оплата за образование	1	24	Жен	высшее	Нет	29	11500	7500	Выплаты по кредитам/займам
2500	500	6	08.05.03	Оплата услуг (мед., юрид. и т.п.)	1	40	Жен	специальное	Нет	3	2000	500	Затраты на образование (в т.ч. детей)
15000	3000	24	10.05.03	Покупка и ремонт недвижимости	1	19	Муж	специальное	Да	26	5000	2500	Турпоездки, развлечения и т.п.
