Код	Размер ссуды, руб	Срок ссуды, мес	Цель ссуды	Среднемесячный доход, руб	Среднемесячный расход, руб	Основное направление расходов	Количество лет	Семейное положение	Количество иждивенцев	Наличие недвижимости	Давать кредит
109	21500	6	Покупка и ремонт недвижимости	14000	11500	Выплаты по кредитам/займам	43	Да	1	Да	ЛОЖЬ
110	28000	36	Покупка товара	6500	4000	Турпоездки, развлечения и т.п.	67	Нет	0	Нет	ИСТИНА
111	24000	12	Покупка товара	12000	9500	Содержание/аренда недвижимости, а/т	20	Да	1	Нет	ИСТИНА
112	25000	6	Покупка товара	12000	4500	Содержание/аренда недвижимости, а/т	66	Да	3	Да	ЛОЖЬ
113	10500	24	Иное	18500	8500	Содержание/аренда недвижимости, а/т	23	Да	2	Нет	ИСТИНА
114	24500	12	Покупка товара	8000	5500	Затраты на образование (в т.ч. детей)	64	Нет	1	Нет	ИСТИНА
115	20500	36	Иное	3500	1000	Содержание/аренда недвижимости, а/т	23	Да	1	Да	ЛОЖЬ
116	16000	36	Иное	9500	7000	Содержание/аренда недвижимости, а/т	21	Нет	3	Да	ИСТИНА
117	22500	12	Оплата услуг (мед., юрид. и т.п.)	12500	6500	Содержание/аренда недвижимости, а/т	65	Нет	3	Нет	ИСТИНА
118	29000	36	Покупка и ремонт недвижимости	5500	2500	Выплаты по кредитам/займам	20	Нет	0	Нет	ИСТИНА
119	23500	24	Оплата за образование	19500	8000	Турпоездки, развлечения и т.п.	31	Да	3	Да	ИСТИНА
120	25500	24	Оплата за образование	11000	3000	Покупка товаров длит. пользования	63	Да	1	Да	ЛОЖЬ
121	26000	18	Иное	10500	8000	Покупка товаров длит. пользования	45	Да	0	Нет	ИСТИНА
122	19500	6	Иное	12500	10500	Затраты на образование (в т.ч. детей)	21	Нет	0	Да	ИСТИНА
123	9000	18	Покупка товара	12000	7000	Выплаты по кредитам/займам	65	Нет	1	Нет	ЛОЖЬ
124	26500	24	Покупка автомобиля	9500	6500	Выплаты по кредитам/займам	66	Да	1	Да	ИСТИНА
125	23500	12	Покупка автомобиля	11500	9000	Содержание/аренда недвижимости, а/т	19	Нет	0	Нет	ИСТИНА
126	4000	36	Оплата за образование	9000	3500	Покупка товаров длит. пользования	36	Нет	1	Нет	ИСТИНА
127	2500	12	Покупка товара	19500	11500	Покупка товаров длит. пользования	58	Нет	2	Нет	ЛОЖЬ
128	8000	24	Оплата услуг (мед., юрид. и т.п.)	18500	10000	Выплаты по кредитам/займам	32	Нет	3	Нет	ЛОЖЬ
129	15000	18	Покупка и ремонт недвижимости	11500	5000	Содержание/аренда недвижимости, а/т	44	Да	1	Нет	ЛОЖЬ
130	27000	18	Покупка товара	2500	1000	Выплаты по кредитам/займам	30	Да	1	Да	ИСТИНА
131	23500	12	Оплата услуг (мед., юрид. и т.п.)	8000	5500	Покупка товаров длит. пользования	50	Нет	3	Нет	ИСТИНА
132	7000	24	Иное	7500	5000	Затраты на образование (в т.ч. детей)	39	Да	1	Нет	ИСТИНА
133	19500	24	Покупка товара	13500	10500	Покупка товаров длит. пользования	23	Да	1	Нет	ИСТИНА
134	4000	36	Покупка и ремонт недвижимости	11000	9000	Турпоездки, развлечения и т.п.	62	Нет	2	Нет	ИСТИНА
135	3000	24	Оплата за образование	4000	1000	Затраты на образование (в т.ч. детей)	33	Да	1	Да	ИСТИНА
136	12500	18	Покупка автомобиля	12500	11000	Покупка товаров длит. пользования	31	Нет	3	Нет	ИСТИНА
137	15500	18	Покупка и ремонт недвижимости	2000	1500	Содержание/аренда недвижимости, а/т	69	Да	1	Нет	ИСТИНА
138	22000	24	Оплата за образование	2500	1500	Покупка товаров длит. пользования	49	Да	2	Нет	ЛОЖЬ
139	4500	18	Оплата услуг (мед., юрид. и т.п.)	2000	500	Покупка товаров длит. пользования	41	Нет	0	Да	ЛОЖЬ
140	18500	24	Покупка товара	6000	4500	Затраты на образование (в т.ч. детей)	36	Да	1	Да	ИСТИНА
141	19500	6	Покупка и ремонт недвижимости	18500	8000	Затраты на образование (в т.ч. детей)	59	Да	0	Нет	ИСТИНА
142	16500	24	Оплата за образование	2500	2000	Выплаты по кредитам/займам	66	Да	3	Да	ЛОЖЬ
143	2000	18	Иное	12500	8500	Выплаты по кредитам/займам	20	Да	2	Нет	ИСТИНА
144	22500	18	Иное	2000	1000	Покупка товаров длит. пользования	61	Да	0	Нет	ИСТИНА
145	4500	36	Покупка товара	2500	500	Выплаты по кредитам/займам	65	Да	0	Нет	ИСТИНА
146	25000	12	Иное	7500	4500	Покупка товаров длит. пользования	47	Да	0	Нет	ИСТИНА
147	21000	18	Оплата за образование	4500	3000	Покупка товаров длит. пользования	22	Да	3	Да	ЛОЖЬ
148	2500	6	Покупка и ремонт недвижимости	9000	7500	Покупка товаров длит. пользования	33	Нет	0	Нет	ЛОЖЬ
149	15000	24	Иное	2500	500	Выплаты по кредитам/займам	23	Нет	0	Да	ИСТИНА
150	27000	36	Покупка товара	17000	11000	Выплаты по кредитам/займам	45	Нет	0	Да	ИСТИНА
151	3000	36	Покупка товара	10000	3500	Выплаты по кредитам/займам	20	Нет	1	Да	ИСТИНА
152	18500	18	Иное	2000	1500	Выплаты по кредитам/займам	52	Нет	2	Да	ЛОЖЬ
153	3500	18	Оплата услуг (мед., юрид. и т.п.)	2000	500	Затраты на образование (в т.ч. детей)	65	Нет	2	Да	ИСТИНА
154	26500	24	Оплата за образование	14500	8500	Выплаты по кредитам/займам	21	Нет	2	Нет	ИСТИНА
155	7000	12	Оплата услуг (мед., юрид. и т.п.)	8500	6000	Выплаты по кредитам/займам	25	Да	0	Нет	ИСТИНА
156	15500	12	Покупка и ремонт недвижимости	10000	3500	Покупка товаров длит. пользования	68	Да	2	Да	ИСТИНА
157	18500	12	Покупка товара	14000	11000	Выплаты по кредитам/займам	64	Нет	0	Да	ЛОЖЬ
158	11000	18	Покупка товара	12500	5000	Содержание/аренда недвижимости, а/т	24	Нет	2	Да	ИСТИНА
159	10000	24	Покупка товара	14000	7500	Выплаты по кредитам/займам	54	Нет	0	Нет	ЛОЖЬ
160	5500	6	Иное	4500	1000	Турпоездки, развлечения и т.п.	23	Нет	2	Нет	ИСТИНА
161	27500	6	Оплата за образование	15500	7000	Турпоездки, развлечения и т.п.	50	Да	1	Да	ЛОЖЬ
162	22500	18	Покупка товара	16000	11000	Выплаты по кредитам/займам	62	Нет	0	Нет	ИСТИНА
163	10500	6	Оплата за образование	11500	8500	Турпоездки, развлечения и т.п.	58	Нет	1	Нет	ИСТИНА
164	5000	18	Оплата услуг (мед., юрид. и т.п.)	8500	6000	Выплаты по кредитам/займам	26	Нет	0	Нет	ИСТИНА
165	15500	18	Иное	7000	4000	Содержание/аренда недвижимости, а/т	49	Да	1	Да	ИСТИНА
166	25000	12	Покупка и ремонт недвижимости	9000	5500	Турпоездки, развлечения и т.п.	54	Да	2	Нет	ИСТИНА
167	25000	18	Покупка товара	16000	6000	Турпоездки, развлечения и т.п.	53	Да	1	Нет	ЛОЖЬ
168	6500	12	Иное	12000	8500	Выплаты по кредитам/займам	56	Да	0	Нет	ИСТИНА
169	21000	24	Покупка и ремонт недвижимости	5000	2000	Выплаты по кредитам/займам	54	Нет	0	Да	ИСТИНА
170	3500	24	Оплата услуг (мед., юрид. и т.п.)	6500	4000	Затраты на образование (в т.ч. детей)	53	Нет	0	Нет	ИСТИНА
171	14500	6	Покупка товара	5000	2000	Покупка товаров длит. пользования	20	Да	0	Нет	ЛОЖЬ
172	20500	6	Покупка товара	9500	6500	Турпоездки, развлечения и т.п.	52	Да	0	Нет	ИСТИНА
173	4500	18	Покупка и ремонт недвижимости	7000	2500	Турпоездки, развлечения и т.п.	64	Нет	2	Нет	ИСТИНА
174	16000	6	Покупка товара	4000	2000	Затраты на образование (в т.ч. детей)	48	Да	0	Да	ИСТИНА
175	8000	12	Покупка автомобиля	13500	4500	Содержание/аренда недвижимости, а/т	41	Нет	3	Нет	ЛОЖЬ
176	7000	6	Покупка товара	14500	6000	Турпоездки, развлечения и т.п.	37	Нет	1	Да	ИСТИНА
177	23500	36	Покупка и ремонт недвижимости	8000	3500	Содержание/аренда недвижимости, а/т	32	Нет	0	Нет	ИСТИНА
178	3000	12	Покупка и ремонт недвижимости	3500	2000	Турпоездки, развлечения и т.п.	39	Нет	0	Да	ИСТИНА
179	23500	6	Оплата за образование	9000	3000	Содержание/аренда недвижимости, а/т	62	Да	0	Нет	ИСТИНА
180	9500	36	Оплата услуг (мед., юрид. и т.п.)	7000	5500	Покупка товаров длит. пользования	58	Да	0	Нет	ИСТИНА
181	22500	36	Иное	8500	4500	Содержание/аренда недвижимости, а/т	56	Нет	1	Да	ИСТИНА
182	26000	36	Покупка товара	5500	4000	Затраты на образование (в т.ч. детей)	38	Да	1	Нет	ЛОЖЬ
183	29000	12	Покупка автомобиля	2500	2000	Затраты на образование (в т.ч. детей)	65	Нет	1	Нет	ИСТИНА
184	12000	18	Оплата услуг (мед., юрид. и т.п.)	4000	2000	Содержание/аренда недвижимости, а/т	24	Нет	2	Нет	ИСТИНА
185	28500	24	Покупка товара	17000	5500	Содержание/аренда недвижимости, а/т	36	Да	3	Нет	ЛОЖЬ
186	23500	24	Оплата услуг (мед., юрид. и т.п.)	11500	5500	Содержание/аренда недвижимости, а/т	62	Нет	0	Нет	ИСТИНА
187	27000	6	Покупка товара	11500	4000	Турпоездки, развлечения и т.п.	62	Да	3	Нет	ЛОЖЬ
188	29500	18	Оплата услуг (мед., юрид. и т.п.)	5500	4500	Содержание/аренда недвижимости, а/т	67	Да	2	Нет	ИСТИНА
189	28000	12	Оплата услуг (мед., юрид. и т.п.)	14000	10000	Затраты на образование (в т.ч. детей)	67	Да	1	Да	ИСТИНА
190	24500	24	Покупка автомобиля	15500	11500	Затраты на образование (в т.ч. детей)	40	Да	0	Да	ИСТИНА
191	12000	12	Покупка и ремонт недвижимости	18500	13500	Турпоездки, развлечения и т.п.	33	Да	1	Да	ИСТИНА
192	29500	24	Покупка товара	7000	2500	Выплаты по кредитам/займам	35	Да	0	Да	ИСТИНА
193	26500	6	Покупка и ремонт недвижимости	2000	1500	Покупка товаров длит. пользования	42	Нет	1	Нет	ЛОЖЬ
194	15500	6	Покупка товара	19000	13500	Выплаты по кредитам/займам	61	Нет	1	Нет	ИСТИНА
195	4500	18	Покупка товара	18000	11000	Турпоездки, развлечения и т.п.	22	Да	2	Нет	ИСТИНА
196	28500	18	Иное	12000	10500	Покупка товаров длит. пользования	22	Нет	1	Да	ИСТИНА
197	20500	24	Иное	19500	16000	Покупка товаров длит. пользования	63	Да	0	Нет	ЛОЖЬ
198	7000	12	Оплата за образование	3500	2000	Турпоездки, развлечения и т.п.	50	Да	1	Нет	ИСТИНА
199	7000	6	Покупка товара	12000	10000	Турпоездки, развлечения и т.п.	45	Да	1	Нет	ЛОЖЬ
200	7000	36	Оплата услуг (мед., юрид. и т.п.)	13000	6500	Выплаты по кредитам/займам	50	Да	1	Нет	ИСТИНА
